Zones,GenVar
ID_27,0.10580780677655678
ID_28,0.10317834249084246
ID_29,0.11152094780219779
ID_30,0.09483585164835165
ID_31,0.07925274725274724
ID_32,0.08412179487179487
ID_33,0.0756926510989011
ID_34,0.053611034798534796
MT_1,0.3733450091575091
MT_2,0.3448782051282052
MT_3,0.3217512591575092
MT_4,0.30694562728937735
MT_5,0.29741575091575084
MT_6,0.28569184981684986
MT_7,0.2817543498168497
MT_8,0.2711318681318682
MT_9,0.2612960164835166
MT_10,0.2565591804029304
MT_11,0.2476563644688645
MT_12,0.23878021978021963
MT_13,0.23033836996336998
MT_14,0.22379120879120876
MT_15,0.22046268315018314
MT_16,0.20993750000000003
MT_17,0.2016802884615385
MT_18,0.1904799679487179
MT_19,0.18477483974358977
MT_20,0.17708447802197802
MT_21,0.1682371794871795
MT_22,0.16237305402930402
MT_23,0.15210920329670335
MT_24,0.15262522893772892
MT_25,0.14643738553113553
MT_26,0.11850022893772892
MT_27,0.12150858516483519
MT_28,0.11191414835164835
MT_29,0.11211355311355314
MT_30,0.0969742445054945
MT_31,0.09448065476190477
MT_32,0.08287328296703297
NM_1,0.4111515567765568
NM_2,0.3766576236263735
NM_3,0.35610244963369964
NM_4,0.3413877060439561
NM_5,0.3427924679487181
NM_6,0.3286681547619048
NM_7,0.324176510989011
NM_8,0.3089766483516484
NM_9,0.3136829212454212
NM_10,0.30476991758241756
NM_11,0.3017440476190475
NM_12,0.29735748626373626
NM_13,0.28404842032967037
NM_14,0.28344597069597066
NM_15,0.2745768086080586
NM_16,0.2640541437728938
NM_17,0.25749896978021974
NM_18,0.2542358058608058
NM_19,0.2602996794871795
NM_20,0.23794482600732603
NM_21,0.25348317307692303
NM_22,0.23169963369963367
NM_23,0.24524130036630035
NM_24,0.2231620879120879
NM_25,0.23581169871794871
NM_26,0.21338186813186813
NM_27,0.22849771062271063
NM_28,0.20423740842490845
NM_29,0.21388690476190472
NM_30,0.18851407967032963
NM_31,0.20601453754578755
NM_32,0.18918269230769227
NM_33,0.19743463827838834
NM_34,0.1768525641025641
NM_35,0.17490831043956037
NM_36,0.18835599816849818
NM_37,0.17268177655677658
NM_38,0.16733745421245416
NM_39,0.18191346153846152
NM_40,0.1645066391941392
NM_41,0.16007554945054947
NM_42,0.17332154304029304
NM_43,0.15631456043956043
NM_44,0.1690468177655678
NM_45,0.1571602564102564
NM_46,0.15530528846153846
NM_47,0.15924095695970694
NM_48,0.14601900183150188
NM_49,0.14551568223443223
NM_50,0.13877369505494508
NM_51,0.14817960164835164
NM_52,0.136207760989011
NM_53,0.13416472069597069
NM_54,0.13435313644688646
NM_55,0.12995478479853478
NM_56,0.1285060668498168
NM_57,0.13420604395604396
NM_58,0.12862717490842487
NM_59,0.1243021978021978
NM_60,0.12029029304029304
NM_61,0.10982669413919416
NM_62,0.11946142399267394
NM_63,0.11302255036630035
NM_64,0.10619070512820514
NM_65,0.10968292124542124
NM_66,0.11171909340659342
NM_67,0.10376705586080588
NM_68,0.0949290293040293
NM_69,0.10279532967032971
