Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12
,,,,,,,,153,12069.0,10522.0,3304.0,1892.0,3375.0,5071.0,15343.0,25951.0,2742.0,14059.0,4463.0,2851.0
,,,,,,,,154,12311.0,10661.0,3349.0,1909.0,3392.0,5196.0,15929.0,26561.0,2856.0,14622.0,4521.0,2865.0
,,,,,,,,155,12492.0,10714.0,3301.0,1921.0,3401.0,5318.0,16304.0,26518.0,2933.0,15029.0,4519.0,2890.0
,,,,,,,,156,12634.0,10707.0,3252.0,1907.0,3419.0,5327.0,16408.0,26254.0,2967.0,15182.0,4537.0,2885.0
,,,,,,,,157,12766.0,10599.0,3195.0,1897.0,3410.0,5330.0,16403.0,25675.0,2985.0,15249.0,4475.0,2873.0
,,,,,,,,158,12865.0,10611.0,3141.0,1884.0,3417.0,5320.0,16375.0,25272.0,2985.0,15227.0,4459.0,2845.0
,,,,,,,,159,13045.0,10717.0,3127.0,1888.0,3445.0,5298.0,16378.0,24822.0,2995.0,15239.0,4424.0,2896.0
,,,,,,,,160,13283.0,11308.0,3227.0,1969.0,3573.0,5323.0,16599.0,25244.0,3035.0,15440.0,4512.0,3043.0
,,,,,,,,161,14148.0,12493.0,3551.0,2124.0,3964.0,5694.0,17522.0,27367.0,3178.0,16261.0,4846.0,3210.0
,,,,,,,,162,14758.0,12488.0,3710.0,2168.0,4061.0,6177.0,19800.0,29217.0,3578.0,18224.0,5021.0,3259.0
,,,,,,,,163,14525.0,12276.0,3706.0,2137.0,4012.0,6143.0,20058.0,29233.0,3612.0,18455.0,4993.0,3184.0
,,,,,,,,164,14115.0,11972.0,3696.0,2079.0,3916.0,6098.0,19775.0,28999.0,3556.0,18187.0,4960.0,3147.0
,,,,,,,,165,13477.0,11404.0,3585.0,2006.0,3707.0,5986.0,19206.0,28213.0,3445.0,17666.0,4815.0,3023.0
,,,,,,,,166,12538.0,10679.0,3340.0,1887.0,3443.0,5799.0,18096.0,26688.0,3239.0,16664.0,4571.0,2888.0
,,,,,,,,167,11625.0,10118.0,3119.0,1769.0,3212.0,5584.0,16633.0,24704.0,2961.0,15347.0,4296.0,2753.0
,,,,,,,,168,11060.0,9750.0,3013.0,1687.0,3053.0,5316.0,15388.0,23030.0,2774.0,14245.0,4103.0,2626.0
,,,,,,,,169,11564.0,8846.0,2691.0,1401.0,3158.0,5641.0,15539.0,18050.0,2865.0,14881.0,3404.0,2261.0
,,,,,,,,170,11199.0,8634.0,2637.0,1396.0,3107.0,5395.0,14956.0,17598.0,2745.0,14337.0,3353.0,2232.0
,,,,,,,,171,11021.0,8597.0,2605.0,1408.0,3096.0,5223.0,14535.0,17449.0,2660.0,13917.0,3358.0,2223.0
,,,,,,,,172,11028.0,8623.0,2666.0,1406.0,3112.0,5125.0,14344.0,17471.0,2623.0,13730.0,3432.0,2247.0
,,,,,,,,173,10874.0,8627.0,2732.0,1451.0,3101.0,5093.0,14374.0,17778.0,2624.0,13739.0,3438.0,2258.0
,,,,,,,,174,10996.0,8746.0,2800.0,1500.0,3266.0,4947.0,14540.0,18261.0,2647.0,13913.0,3531.0,2315.0
,,,,,,,,175,11486.0,9024.0,2928.0,1592.0,3494.0,4800.0,14640.0,19262.0,2682.0,14013.0,3699.0,2384.0
,,,,,,,,176,12278.0,9536.0,3086.0,1664.0,3794.0,5038.0,15276.0,20444.0,2805.0,14630.0,3906.0,2470.0
,,,,,,,,177,13189.0,9967.0,3213.0,1705.0,4056.0,5417.0,16065.0,21780.0,2975.0,15370.0,4043.0,2580.0
,,,,,,,,178,14120.0,10247.0,3314.0,1734.0,4316.0,5789.0,16744.0,22774.0,3128.0,16063.0,4104.0,2626.0
,,,,,,,,179,15025.0,10466.0,3322.0,1715.0,4484.0,6153.0,17436.0,23205.0,3291.0,16745.0,4138.0,2646.0
,,,,,,,,180,15842.0,10512.0,3314.0,1700.0,4641.0,6459.0,17746.0,23114.0,3400.0,17055.0,4115.0,2603.0
,,,,,,,,181,16628.0,10535.0,3302.0,1692.0,4790.0,6702.0,18161.0,22888.0,3515.0,17483.0,4118.0,2623.0
,,,,,,,,182,17471.0,10605.0,3277.0,1663.0,4920.0,6922.0,18173.0,22625.0,3555.0,17611.0,4118.0,2594.0
,,,,,,,,183,18282.0,10805.0,3310.0,1685.0,4994.0,7250.0,18368.0,22498.0,3621.0,17842.0,4157.0,2609.0
,,,,,,,,184,18811.0,11034.0,3353.0,1662.0,5021.0,7549.0,18649.0,22614.0,3688.0,18114.0,4173.0,2626.0
,,,,,,,,185,19046.0,11273.0,3429.0,1658.0,4940.0,7753.0,18943.0,22836.0,3742.0,18378.0,4234.0,2677.0
,,,,,,,,186,18617.0,11201.0,3440.0,1641.0,4810.0,7833.0,19222.0,23032.0,3781.0,18600.0,4214.0,2641.0
,,,,,,,,187,17903.0,11069.0,3463.0,1646.0,4835.0,7750.0,19212.0,23080.0,3754.0,18548.0,4235.0,2655.0
,,,,,,,,188,17567.0,11237.0,3472.0,1683.0,4649.0,7506.0,19189.0,23168.0,3716.0,18490.0,4307.0,2701.0
,,,,,,,,189,16424.0,11064.0,3525.0,1627.0,4183.0,7675.0,19972.0,23276.0,3830.0,19128.0,4180.0,2677.0
,,,,,,,,190,14914.0,10101.0,3367.0,1546.0,3740.0,7464.0,19703.0,22537.0,3745.0,18808.0,3930.0,2528.0
