R_ID,Zone,Region,Resource,NOS,OptValues
117,1,AZ,hydropower_npd4_mid,1,0.0
143,2,CO,hydropower_npd4_mid,1,0.0
165,3,ID,hydropower_npd4_mid,1,0.0
185,4,MT,hydropower_npd4_mid,1,0.0
201,5,NM,hydropower_npd4_mid,1,0.0
227,6,NV,hydropower_npd4_mid,1,0.0
262,7,NorCal,hydropower_npd4_mid,1,0.0
317,8,PNW,hydropower_npd4_mid,1,0.0
351,9,SD_IID,hydropower_npd4_mid,1,0.0
387,10,SoCal,hydropower_npd4_mid,1,0.0
450,11,UT,hydropower_npd4_mid,1,0.0
471,12,WY,hydropower_npd4_mid,1,0.0
2,1,AZ,conventional_hydroelectric,0,2765.5
13,2,CO,conventional_hydroelectric,0,483.2
20,3,ID,conventional_hydroelectric,0,1411.1
27,4,MT,conventional_hydroelectric,0,2497.6
33,5,NM,conventional_hydroelectric,0,0.0
42,6,NV,conventional_hydroelectric,0,1039.4
51,7,NorCal,conventional_hydroelectric,0,7345.7
61,8,PNW,conventional_hydroelectric,0,29779.2
80,10,SoCal,conventional_hydroelectric,0,1424.5
90,11,UT,conventional_hydroelectric,0,161.8
98,12,WY,conventional_hydroelectric,0,234.4
109,1,AZ,coal_ccs30avgcf_mid,1,0.0
110,1,AZ,coal_ccs90avgcf_mid,1,0.0
111,1,AZ,naturalgas_ctavgcf_mid,1,0.0
112,1,AZ,naturalgas_ccavgcf_mid,1,0.0
113,1,AZ,naturalgas_ccccsavgcf_mid,1,15183.197195515339
114,1,AZ,nuclear_mid,1,0.0
115,1,AZ,biopower_dedicated_mid,1,105.1211713222342
135,2,CO,coal_ccs30avgcf_mid,1,0.0
136,2,CO,coal_ccs90avgcf_mid,1,0.0
137,2,CO,naturalgas_ctavgcf_mid,1,0.0
138,2,CO,naturalgas_ccavgcf_mid,1,0.0
139,2,CO,naturalgas_ccccsavgcf_mid,1,7039.302678853368
140,2,CO,nuclear_mid,1,0.0
141,2,CO,biopower_dedicated_mid,1,0.0
157,3,ID,coal_ccs30avgcf_mid,1,0.0
158,3,ID,coal_ccs90avgcf_mid,1,0.0
159,3,ID,naturalgas_ctavgcf_mid,1,0.0
160,3,ID,naturalgas_ccavgcf_mid,1,0.0
161,3,ID,naturalgas_ccccsavgcf_mid,1,0.0
162,3,ID,nuclear_mid,1,0.0
163,3,ID,biopower_dedicated_mid,1,501.5655794205328
177,4,MT,coal_ccs30avgcf_mid,1,0.0
178,4,MT,coal_ccs90avgcf_mid,1,0.0
179,4,MT,naturalgas_ctavgcf_mid,1,0.0
180,4,MT,naturalgas_ccavgcf_mid,1,0.0
181,4,MT,naturalgas_ccccsavgcf_mid,1,0.0
182,4,MT,nuclear_mid,1,0.0
183,4,MT,biopower_dedicated_mid,1,0.0
193,5,NM,coal_ccs30avgcf_mid,1,0.0
194,5,NM,coal_ccs90avgcf_mid,1,0.0
195,5,NM,naturalgas_ctavgcf_mid,1,0.0
196,5,NM,naturalgas_ccavgcf_mid,1,0.0
197,5,NM,naturalgas_ccccsavgcf_mid,1,0.0
198,5,NM,nuclear_mid,1,0.0
199,5,NM,biopower_dedicated_mid,1,0.0
219,6,NV,coal_ccs30avgcf_mid,1,0.0
220,6,NV,coal_ccs90avgcf_mid,1,0.0
221,6,NV,naturalgas_ctavgcf_mid,1,0.0
222,6,NV,naturalgas_ccavgcf_mid,1,0.0
223,6,NV,naturalgas_ccccsavgcf_mid,1,0.0
224,6,NV,nuclear_mid,1,0.0
225,6,NV,biopower_dedicated_mid,1,0.0
254,7,NorCal,coal_ccs30avgcf_mid,1,0.0
255,7,NorCal,coal_ccs90avgcf_mid,1,0.0
256,7,NorCal,naturalgas_ctavgcf_mid,1,0.0
257,7,NorCal,naturalgas_ccavgcf_mid,1,0.0
258,7,NorCal,naturalgas_ccccsavgcf_mid,1,2331.421693540187
259,7,NorCal,nuclear_mid,1,0.0
260,7,NorCal,biopower_dedicated_mid,1,0.0
309,8,PNW,coal_ccs30avgcf_mid,1,0.0
310,8,PNW,coal_ccs90avgcf_mid,1,0.0
311,8,PNW,naturalgas_ctavgcf_mid,1,0.0
312,8,PNW,naturalgas_ccavgcf_mid,1,0.0
313,8,PNW,naturalgas_ccccsavgcf_mid,1,3827.7020391800634
314,8,PNW,nuclear_mid,1,0.0
315,8,PNW,biopower_dedicated_mid,1,209.65248304299152
343,9,SD_IID,coal_ccs30avgcf_mid,1,0.0
344,9,SD_IID,coal_ccs90avgcf_mid,1,0.0
345,9,SD_IID,naturalgas_ctavgcf_mid,1,0.0
346,9,SD_IID,naturalgas_ccavgcf_mid,1,0.0
347,9,SD_IID,naturalgas_ccccsavgcf_mid,1,0.0
348,9,SD_IID,nuclear_mid,1,0.0
349,9,SD_IID,biopower_dedicated_mid,1,0.0
379,10,SoCal,coal_ccs30avgcf_mid,1,0.0
380,10,SoCal,coal_ccs90avgcf_mid,1,0.0
381,10,SoCal,naturalgas_ctavgcf_mid,1,0.0
382,10,SoCal,naturalgas_ccavgcf_mid,1,0.0
383,10,SoCal,naturalgas_ccccsavgcf_mid,1,0.0
384,10,SoCal,nuclear_mid,1,0.0
385,10,SoCal,biopower_dedicated_mid,1,0.0
442,11,UT,coal_ccs30avgcf_mid,1,0.0
443,11,UT,coal_ccs90avgcf_mid,1,0.0
444,11,UT,naturalgas_ctavgcf_mid,1,0.0
445,11,UT,naturalgas_ccavgcf_mid,1,0.0
446,11,UT,naturalgas_ccccsavgcf_mid,1,0.0
447,11,UT,nuclear_mid,1,0.0
448,11,UT,biopower_dedicated_mid,1,0.0
463,12,WY,coal_ccs30avgcf_mid,1,0.0
464,12,WY,coal_ccs90avgcf_mid,1,0.0
465,12,WY,naturalgas_ctavgcf_mid,1,0.0
466,12,WY,naturalgas_ccavgcf_mid,1,0.0
467,12,WY,naturalgas_ccccsavgcf_mid,1,0.0
468,12,WY,nuclear_mid,1,0.0
469,12,WY,biopower_dedicated_mid,1,0.0
3,1,AZ,conventional_steam_coal,0,0.0
5,1,AZ,natural_gas_fired_combined_cycle,0,0.0
6,1,AZ,natural_gas_fired_combustion_turbine,0,0.0
8,1,AZ,other_peaker,0,0.0
14,2,CO,conventional_steam_coal,0,0.0
16,2,CO,natural_gas_fired_combined_cycle,0,0.0
17,2,CO,natural_gas_fired_combustion_turbine,0,0.0
21,3,ID,conventional_steam_coal,0,0.0
23,3,ID,natural_gas_fired_combined_cycle,0,0.0
24,3,ID,natural_gas_fired_combustion_turbine,0,0.0
28,4,MT,conventional_steam_coal,0,0.0
29,4,MT,natural_gas_fired_combustion_turbine,0,0.0
35,5,NM,natural_gas_fired_combined_cycle,0,0.0
36,5,NM,natural_gas_fired_combustion_turbine,0,0.0
37,5,NM,natural_gas_steam_turbine,0,0.0
43,6,NV,conventional_steam_coal,0,0.0
45,6,NV,natural_gas_fired_combined_cycle,0,0.0
50,7,NorCal,biomass,0,182.886
54,7,NorCal,natural_gas_fired_combined_cycle,0,0.0
55,7,NorCal,natural_gas_fired_combustion_turbine,0,0.0
56,7,NorCal,other_peaker,0,0.0
60,8,PNW,biomass,0,94.996
64,8,PNW,natural_gas_fired_combined_cycle,0,0.0
65,8,PNW,natural_gas_fired_combustion_turbine,0,0.0
67,8,PNW,other_peaker,0,0.0
73,9,SD_IID,natural_gas_fired_combined_cycle,0,0.0
74,9,SD_IID,natural_gas_fired_combustion_turbine,0,0.0
75,9,SD_IID,other_peaker,0,0.0
79,10,SoCal,biomass,0,114.804
83,10,SoCal,natural_gas_fired_combined_cycle,0,0.0
84,10,SoCal,natural_gas_fired_combustion_turbine,0,0.0
86,10,SoCal,other_peaker,0,1.6342482922482304e-13
91,11,UT,conventional_steam_coal,0,0.0
93,11,UT,natural_gas_fired_combined_cycle,0,0.0
94,11,UT,natural_gas_fired_combustion_turbine,0,0.0
95,11,UT,other_peaker,0,0.0
99,12,WY,conventional_steam_coal,0,0.0
100,12,WY,natural_gas_fired_combined_cycle,0,5.684341886080802e-14
101,12,WY,natural_gas_fired_combustion_turbine,0,0.0
103,12,WY,other_peaker,0,0.0
116,1,AZ,battery_mid,1,1324.9842154443347
118,1,AZ,newpumped,1,0.0
142,2,CO,battery_mid,1,3209.2361121247864
144,2,CO,newpumped,1,0.0
164,3,ID,battery_mid,1,339.9567622552699
166,3,ID,newpumped,1,0.0
184,4,MT,battery_mid,1,168.77434470874448
186,4,MT,newpumped,1,0.0
200,5,NM,battery_mid,1,12298.65965202395
202,5,NM,newpumped,1,0.0
226,6,NV,battery_mid,1,22053.21899431374
228,6,NV,newpumped,1,0.0
261,7,NorCal,battery_mid,1,19099.886111704127
263,7,NorCal,newpumped,1,0.0
316,8,PNW,battery_mid,1,3229.9294756999193
318,8,PNW,newpumped,1,0.0
350,9,SD_IID,battery_mid,1,150.1800279161715
352,9,SD_IID,newpumped,1,0.0
386,10,SoCal,battery_mid,1,12109.600618206525
388,10,SoCal,newpumped,1,0.0
449,11,UT,battery_mid,1,0.0
451,11,UT,newpumped,1,0.0
470,12,WY,battery_mid,1,1898.6042314423603
472,12,WY,newpumped,1,0.0
1,1,AZ,batteries,0,180.0
12,2,CO,batteries,0,5.0
32,5,NM,batteries,0,3.6
41,6,NV,batteries,0,20.0
49,7,NorCal,batteries,0,350.5
59,8,PNW,batteries,0,11.2
70,9,SD_IID,batteries,0,154.49999999999997
78,10,SoCal,batteries,0,145.3
4,1,AZ,hydroelectric_pumped_storage,-1,216.3
11,1,AZ,solar_thermal_with_energy_storage,-1,280.0
15,2,CO,hydroelectric_pumped_storage,-1,562.5
48,6,NV,solar_thermal_with_energy_storage,-1,110.0
53,7,NorCal,hydroelectric_pumped_storage,-1,2276.9
63,8,PNW,hydroelectric_pumped_storage,-1,314.0
72,9,SD_IID,hydroelectric_pumped_storage,-1,42.0
